Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Deepak Lahoti,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",33,Patparganj,Delhi,67,73,1300
Dr. Rajneesh Gulati,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",31,Vikas Puri,Delhi,65,142,1000
Dr. Manoj Kumar,Gastroenterologist,"MBBS, DM - Gastroenterology, MD - Pediatrics",36,Saket,Delhi,48,50,1000
Dr. Pallavi  Garg,Gastroenterologist,"MBBS, MD - Medicine, DNB - Gastroenterology",17,Saket,Delhi,90,202,1200
Dr. Ajay Kumar,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",36,Pusa Road,Delhi,84,19,1300
Dr. J.C Vij,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",53,Pusa Road,Delhi,86,37,1500
Dr. Vishal Garg,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",20,Sarita Vihar,Delhi,89,91,1500
Dr. Sanjay Khanna,Gastroenterologist,"MBBS, MD - Medicine, DNB - Gastroenterology",30,Shalimar Bagh,Delhi,88,73,1400
Dr. Sohan Lal Broor,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",56,Sarita Vihar,Delhi,88,73,2000
Dr. Sawan Bopanna,Gastroenterologist,"DM - Gastroenterology, MBBS, MD - General Medicine",14,Janakpuri,Delhi,97,29,1300
Dr. Amit Javed,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery",22,Punjabi Bagh,Delhi,99,266,1000
Dr. V.K Gupta,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",39,Shalimar Bagh,Delhi,93,56,1000
Dr. Rohit Goyal,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",23,Dwarka Sector 12,Delhi,84,31,1050
Dr. Amrish Sahney,Gastroenterologist,"MBBS, MD - Medicine, DM - Hepatology",16,Pusa Road,Delhi,84,31,1000
Dr. Sanjeev Kumar Shrivastava,Gastroenterologist,"MBBS, MS - General Surgery, MASGE",34,Patparganj,Delhi,88,152,1000
Dr. P Kar,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",48,Patparganj,Delhi,62,13,1000
Dr. Mridul Chandra Das,Gastroenterologist,"MBBS, DM - Pediatric Gastroenterology",9,Malviya Nagar,Delhi,62,13,1700
Dr. S.K. Thakur,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",47,Siri Fort Road,Delhi,88,57,2000
Dr. Ishtkhar Ahmed,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",13,Okhla,Delhi,97,32,700
Dr. Amitabha Dutta,Gastroenterologist,"MBBS,  FRCP, CCST - Gastroenterology",43,Sarita Vihar,Delhi,97,32,1500
Dr. Ameet Mandot,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",21,Parel,Mumbai,100,19,1850
Dr. Mehul Choksi,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",22,Mahim,Mumbai,90,202,1500
Dr. Nitin A Jain,Gastroenterologist,"DNB - Surgical Gastroenterology, MS - General Surgery, DNB - General Surgery, MBBS",17,Powai,Mumbai,85,53,1000
Dr. Nitin Aherrao,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",16,Andheri West,Mumbai,96,57,2000
Dr. Shankar Zanwar,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",12,Sion,Mumbai,96,57,1200
Dr. Keyur A Sheth,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology, CCST - Gastroenterology",21,Chembur,Mumbai,88,66,1500
Dr. Aruna Pradeep Bhave,Gastroenterologist,"MBBS, DNB - Gastroenterology",44,Mulund West,Mumbai,88,66,2000
Dr. Geeta Malkan Billa,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology, DNB - Gastroenterology",32,Powai,Mumbai,90,40,2100
Dr. Nimish P. Shah,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",16,Mulund West,Mumbai,63,19,1500
Dr. Vinay Kumar Dhir,Gastroenterologist,"MBBS, MD - General Medicine, DNB - Gastroenterology",40,Mahim,Mumbai,63,19,2300
Dr. Alisha Chaubal,Gastroenterologist,"MBBS, MD - General Medicine, DM - Medical Gastroenterology",14,Parel,Mumbai,63,19,1850
Dr. Vasudev,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",24,Bhandup West,Mumbai,87,157,2000
Dr. Hardik Shah,Gastroenterologist,"MBBS, DNB - General Medicine, DNB - Gastroenterology",14,Gamdevi,Mumbai,98,1143,2000
Dr. Bhooshan Pandit,Gastroenterologist,"MBBS, MD - Medicine, DM - Gastroenterology",21,Powai,Mumbai,89,91,1600
Dr. Imran Shaikh,Gastroenterologist,"MBBS, DNB - General Surgery, DNB - Surgical Gastroenterology",18,Mira Road,Mumbai,100,20,1050
Dr. Purushottam Vashistha,Gastroenterologist,"MBBS, DM - Gastroenterology",21,Powai,Mumbai,88,108,1600
Dr. Gaurav Nitin Chaubal,Gastroenterologist,"MBBS, MS - General Surgery, MCh - Surgical Gastroenterology/G.I. Surgery, Fellowship in Abdominal Transplant Surgery",19,Parel,Mumbai,88,108,1850
Dr. Nutan Devendra Desai,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",38,Mulund West,Mumbai,73,26,2000
Dr. Pratik Tibdewal,Gastroenterologist,"MBBS, MD - General Medicine, DM - Gastroenterology",15,Malad,Mumbai,73,15,1200
Dr. Siddhesh Vijay Rane,Gastroenterologist,"MBBS, MD - General Medicine, DM - Medical Gastroenterology",10,Malad,Mumbai,73,15,1500
Ms. Nafeesa Imteyaz,dietitian/nutritionist,MSc. - Dietetics & Food Service Management,28,Indiranagar,Bangalore,98,3680,1000
Dr. Akhila Joshi,dietitian/nutritionist,"BNYS, MSc - Clinical Nutrition and Dietetics",14,Kaggadasapura,Bangalore,96,489,500
Ms. Vani Krishna,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,11,Whitefield,Bangalore,100,15,500
Ms. Sonal Sureka,dietitian/nutritionist,"M.Sc- Dietetics and Applied Nutrition, BSc. - Home Science (Food Science and Nutrition)",8,Ashoknagar,Bangalore,98,42,1500
Ms. Sharanya S Shastry,dietitian/nutritionist,M.Sc- Dietetics and Applied Nutrition,3,Koramangala 5 Block,Bangalore,100,15,600
Dr. Sharmila Shankar,dietitian/nutritionist,"BAMS, Diploma in Clinical Nutrition",23,Malleswaram,Bangalore,100,101,1000
Dr. Shailja Jain   (PhD),dietitian/nutritionist,PhD - Home Science (Food and Nutrition),18,Whitefield,Bangalore,100,101,1500
Ms. Shalmali Sharma,dietitian/nutritionist,"MSc - Dietitics / Nutrition, Diploma in Diet and Nutrition",20,BTM Layout 2nd Stage,Bangalore,87,46,1500
Ms. Kavya S,dietitian/nutritionist,MSc - Nutrition and Dietetics,4,Kaggadasapura,Bangalore,100,15,500
Ms. Priyanka Wincy R,dietitian/nutritionist,B.Sc. - Home Science (Food & Nutrition),4,Koramangala 7 Block,Bangalore,100,15,600
Ms. Ranjitha K M,dietitian/nutritionist,"BSc. - Nutrition Food Service Management and Dietetics, M.Sc. - Food and Nutrition",6,Whitefield,Bangalore,100,15,600
Ms. Shikha Mishra,dietitian/nutritionist,MSc - Food Science and Nutrition,15,Sarjapur Road,Bangalore,95,485,500
Dr. Keerthi Shree Kirisave   (PhD),dietitian/nutritionist,"B.Sc.- Clinical Nutrition & Dietetics, M.Sc. - Home Science (Food & Nutrition), PhD - Yoga",14,Basaveshwaranagar,Bangalore,97,114,850
Ms. Uma Trasi,dietitian/nutritionist,"BSc. - Home Science, MSc - Food and Applied Nutrition",23,Malleswaram,Bangalore,97,114,610
Ms. Amrutha K,dietitian/nutritionist,BSc. - Home Science (Food Science and Nutrition),5,HRBR Layout,Bangalore,97,114,600
Ms. Naziya Fathima,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Food Science and Nutrition",5,Indiranagar,Bangalore,97,114,600
Ms. Anwesa Hajra,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",10,Whitefield,Bangalore,97,114,800
Dr. Geetha B,dietitian/nutritionist,"Post Graduate Diploma in Applied Nutrition and Dietetics, BAMS",38,Basaveshwaranagar,Bangalore,100,33,250
Ms. Shazia Makhdoomi,dietitian/nutritionist,M.Sc. - Home Science (Clinical Nutrition and Dietetics),14,Vasanthnagar,Bangalore,100,277,750
Ms. Swathy Nair,dietitian/nutritionist,MSc - Food Science and Nutrition,3,Sadashivanagar,Bangalore,100,277,600
Dr. Prajna Bhandary,dietitian/nutritionist,M.Sc- Dietetics and Applied Nutrition,6,Ashoknagar,Bangalore,100,277,500
Ms. Nida Asgar Ali,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),8,Ashoknagar,Bangalore,100,277,800
Dr. K Jyothi Rao,dietitian/nutritionist,"DHMS (Diploma in Homeopathic Medicine and Surgery), MSc - Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",31,Indiranagar,Bangalore,100,277,500
Ms. Silky Mahajan,dietitian/nutritionist,"B.Sc. - Home Science (Food & Nutrition), M.Sc. - Home Science (Food & Nutrition)",15,Koramangala 3 Block,Bangalore,97,238,1500
Ms. Sreelakshmi M,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,4,Sarjapur Road,Bangalore,97,238,500
Ms. Dhanalakshmi,dietitian/nutritionist,M.Sc. - Food and Nutrition,18,Kodichikkanahalli,Bangalore,100,16,750
Mr. Vishal Kumar Wadi,dietitian/nutritionist,Diploma in Clinical Nutrition,6,Rajarajeshwarinagar,Bangalore,97,33,1500
Ms. Arpitha,dietitian/nutritionist,MSc - Food Science and Nutrition,14,Yeshwanthpur,Bangalore,97,33,1000
Ms. Anitha Narayanamurthy,dietitian/nutritionist,Certification in Health Coaching Nutrition,9,Sanjay Nagar,Bangalore,92,13,700
Ms. Vinny Joglekar,dietitian/nutritionist,"MSc - Nutrition and Dietetics, B.Sc. - Home Science (Food & Nutrition)",42,Old Airport Road,Bangalore,99,252,600
Dr. Bharathi AV   (PhD),dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Dietitics / Nutrition, PhD - Food Science and Nutrition ",26,Richmond Town,Bangalore,92,107,1500
Ms. Phebe Vinodhini,dietitian/nutritionist,MSc. - Food Service Management & Dietetics,11,Koramangala 5 Block,Bangalore,100,50,500
Dr. Priti Kumari,dietitian/nutritionist,Diploma in Nutrition and Health Education,1,Kadugodi,Bangalore,100,50,600
Ms. Sushmaa Jaiswal,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),37,Whitefield,Bangalore,93,412,2000
Dr. Suguna S   (PhD),dietitian/nutritionist,M.Sc. - Home Science (Community Health and Nutrition),24,JP Nagar 5 Phase,Bangalore,99,118,2500
Ms. Anwesha,dietitian/nutritionist,"BSc - Dietitics / Nutrition, MSc - Applied Nutrition",7,Whitefield,Bangalore,99,118,800
Ms. Praseetha,dietitian/nutritionist,MSc - Food Science and Nutrition,4,Kaggadasapura,Bangalore,100,33,500
Dr. T Ramalakshmi   (PhD),dietitian/nutritionist,"M.Sc. - Home Science (Food & Nutrition), PhD - Home Science (Food and Nutrition)",27,Kumaraswamy Layout,Bangalore,100,33,700
Ms. Iffat Fathima,dietitian/nutritionist,BSc - Dietitics / Nutrition,12,HBR Layout,Bangalore,100,33,550
Ms. Bharghavi D,dietitian/nutritionist,"BSc. - Nutrition Food Service Management and Dietetics, MSc. - Food Service Management & Dietetics",17,Kalyan Nagar,Bangalore,100,33,650
Ms. Padma Singh,dietitian/nutritionist,M.Sc. - Food and Nutrition,19,Rohini,Delhi,95,97,300
Dr. Pankaj Kumar,dietitian/nutritionist,"MBBS, DNB - Family Medicine, DNHE",16,Dwarka Sector 9,Delhi,96,237,700
Ms. Shweta,dietitian/nutritionist,"Diploma in Nutrition and Health Education, Diploma in Diet and Nutrition, Diploma in Diet and Nutrition",15,Punjabi Bagh,Delhi,99,1575,1000
Dr. Sugeeta Mutreja,dietitian/nutritionist,"BAMS, DNHE",23,Dwarka,Delhi,99,288,1000
Dr. Praveen Rustagi,dietitian/nutritionist,"BAMS, DNHE",27,Malviya Nagar,Delhi,96,113,500
Dr. Anjana Kalia,dietitian/nutritionist,"BAMS, Fellowship in Applied Nutrition(FAN)",22,Dwarka,Delhi,99,156,1000
Ms. Raminder Kaur Deshmukh,dietitian/nutritionist,Diploma in Dietetics & Public Health Nutrition (DDPHN),32,Rajouri Garden,Delhi,99,493,3500
Ms. Rashmi Srivastava,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),49,Malviya Nagar,Delhi,100,25,1000
Mr. Himanshu Rai,dietitian/nutritionist,MSc. - Nutrition Sciences,16,Defence Colony,Delhi,99,144,1000
Ms. Dt. Shilpa Chawla,dietitian/nutritionist,"MSc - Dietitics / Nutrition, BSc. - Home Science",21,Pitampura,Delhi,99,229,1500
Ms. Avni Kaul,dietitian/nutritionist,"BSc - Dietitics / Nutrition, M.Sc. - Food and Nutrition",11,Saket,Delhi,97,39,4000
Ms. Ritika Samaddar,dietitian/nutritionist,MSc. - Nutrition Sciences,24,Saket,Delhi,97,39,1000
Ms. Babita,dietitian/nutritionist,"Diploma in Dietetics, Health and Nutrition (DDHN)",10,Dwarka,Delhi,97,39,1000
Ms. Ritu Arora,dietitian/nutritionist,"Diploma in Diet and Nutrition, BSc - Dietitics / Nutrition",7,Paschim Vihar,Delhi,100,11,1000
Ms. Pallavi Larecha,dietitian/nutritionist,Post Graduation Diploma in Dietetics and Public Health Nutrition,13,Shalimar Bagh,Delhi,92,37,450
Ms. Bipasha Das,dietitian/nutritionist,MSc - Dietitics / Nutrition,15,CR Park,Delhi,99,70,1400
Ms. Priya Arya,dietitian/nutritionist,MSc. - Dietetics & Food Service Management,5,Chattarpur,Delhi,99,70,800
Ms. Mansi Nigam,dietitian/nutritionist,MSc - Nutrition and Dietetics,5,Saket,Delhi,95,43,500
Ms. Monica Kapur,dietitian/nutritionist,Certificate in Food and Nutrition,11,Pitampura,Delhi,100,42,1000
Dr. Sunita Choudhary,dietitian/nutritionist,BAMS,15,Vasant Kunj,Delhi,100,42,300
Ms. Mili Sethi,dietitian/nutritionist,"BSc. - Home Science, Certificate in Food and Nutrition",39,Ghitorni,Delhi,100,42,1000
Ms. Diksha Gulati,dietitian/nutritionist,"DNHE, Diploma in Dietetics, Health and Nutrition (DDHN), Post Graduation Diploma in Dietetics and Public Health Nutrition",8,Gujranwala Town,Delhi,100,24,500
Ms. Monika Arora,dietitian/nutritionist,Post Graduate Diploma in Applied Nutrition and Dietetics,20,Karkardooma,Delhi,100,12,700
Ms. Divya Narang,dietitian/nutritionist,Diploma in Dietetics & Public Health Nutrition (DDPHN),17,Vikas Puri,Delhi,94,16,700
Ms. Shalu Ahuja,dietitian/nutritionist,"Diploma in Dietetics, Health and Nutrition (DDHN)",7,Shalimar Bagh,Delhi,100,100,1000
Ms. Swarn Shikha Sharma,dietitian/nutritionist,Post Graduation Diploma in Dietetics,17,Greater Kailash Part 1,Delhi,100,100,300
Ms. Divya Gandhi,dietitian/nutritionist,Diploma in Nutrition and Health Education,9,Ashok Vihar,Delhi,96,2137,1000
Ms. Charu Dua,dietitian/nutritionist,B.Sc. - Home Science (Food & Nutrition),23,Patparganj,Delhi,96,2137,500
Ms. Somya Jain,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),8,Shalimar Bagh,Delhi,96,2137,300
Ms. Monisha Ashokan,dietitian/nutritionist,DNHE,9,Greater Kailash,Delhi,97,64,2000
Ms. Geetanjali,dietitian/nutritionist,"Post Graduate Diploma in Dietetics and Hospital Food Service, MSc. - Dietetics & Food Service Management, BSc. - Home Science (Applied Nutrition)",19,Bandra West,Mumbai,99,72,1500
Ms. Ushma Haria,dietitian/nutritionist,"Post Graduation Diploma in Dietetics, Masters in Dietetics and Food Service Management",14,Chembur East,Mumbai,99,72,500
Ms. Richa Doshi,dietitian/nutritionist,"BSc. - Home Science (Applied Nutrition), Post Graduate Diploma in Clinical Nutrition & Dietetics",13,Kandivali West,Mumbai,97,231,800
Ms. Geeta Shenoy,dietitian/nutritionist,"BSc - Dietitics / Nutrition, Post Graduation Diploma in Dietetics",33,Chembur East,Mumbai,98,255,2500
Ms. Smita Nanda R D,dietitian/nutritionist,PGD ND,17,Kandivali East,Mumbai,97,307,1200
Ms. Bijal Furia,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,7,Ghatkopar,Mumbai,97,307,700
Ms. Deepa Nandy,dietitian/nutritionist,Post Graduate Diploma in Sports Nutrition,16,Andheri West,Mumbai,100,294,2500
Dr. Zubeda Tumbi   (PhD),dietitian/nutritionist,"Ph.D. - Food & Nutrition, MSc - Food & Nutrition",34,Andheri West,Mumbai,96,1021,1500
Ms. Mukta Tolani,dietitian/nutritionist,"Diploma in Dietetics, Health and Nutrition (DDHN)",9,Kandivali West,Mumbai,96,28,1000
Ms. Jennifer Dhuri,dietitian/nutritionist,PG Diploma in Dietitics and Hospital Food Service,25,Powai,Mumbai,98,54,2500
Ms. Twinkle Haria,dietitian/nutritionist,Post Graduate Diploma in Clinical Nutrition & Dietetics,13,Mulund West,Mumbai,99,94,1800
Ms. Sajida Shaikh,dietitian/nutritionist,Diploma in Diet and Nutrition,5,Mira Road,Mumbai,98,108,1000
Ms. Dt Ruchita Maheshwari,dietitian/nutritionist,Post Graduate In Food Science And Nutrition,11,Andheri East,Mumbai,94,33,850
Ms. Malika Kabra Rathi,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,16,Lokhandwala,Mumbai,99,95,2500
Ms. Khushboo Jain Tibrewala,dietitian/nutritionist,"P.G in Sports Science Fitness & Nutrition, BSc. - Home Science (Applied Nutrition)",14,Cumballa Hill,Mumbai,96,25,3000
Ms. Aarti,dietitian/nutritionist,BSc. - Home Science (Dietetics),10,Andheri East,Mumbai,91,155,500
Ms. Hetal Dharod,dietitian/nutritionist,M.Sc. - Home Science (Food & Nutrition),23,Kandivali West,Mumbai,94,35,1200
Ms. Himani Mittal,dietitian/nutritionist,BSc - Applied Nutrition,20,Andheri West,Mumbai,100,30,1500
Dr. Pooja Sharma   (PhD),dietitian/nutritionist,"PhD - Gastro & Human Nutrition Unit, M.Sc. - Home Science (Food & Nutrition)",19,Powai,Mumbai,97,37,1500
Ms. Nisha Singh,dietitian/nutritionist,"BSc - Dietitics / Nutrition, Post Graduate Diploma in Sports Nutrition",23,Powai,Mumbai,99,77,1200
Ms. Sonali Patil,dietitian/nutritionist,BSc. - Home Science (Dietetics),9,Andheri West,Mumbai,99,77,1000
Ms. Bansi Mehta,dietitian/nutritionist,P.G in Sports Science Fitness & Nutrition,9,Khar West,Mumbai,99,77,600
Dr. Pratibha Singhal,dietitian/nutritionist,"BHMS, Diploma in Diet and Nutrition",18,Kandivali East,Mumbai,99,109,1000
Ms. Shruti Kainya,dietitian/nutritionist,Post Graduate Diploma in Sports Nutrition,5,Worli,Mumbai,99,109,2500
Ms. Bina Bhavanji Chheda,dietitian/nutritionist,Diploma in Diet and Nutrition,28,Borivali West,Mumbai,97,112,2000
Dr. Asmita Sawe,dietitian/nutritionist,"BHMS, Post Graduation Diploma in Dietetics and Public Health Nutrition",16,Vileparle East,Mumbai,97,193,1500
Ms. Kamna Bhandari,dietitian/nutritionist,"Post Graduation Diploma in Dietetics, B.Sc. - Home Science (Food & Nutrition)",25,Khar West,Mumbai,99,162,2750
Ms. Khusboo Maheshwari,dietitian/nutritionist,MSc - Clinical Nutrition and Dietetics,9,Mira Bhayandar,Mumbai,99,103,1000
Ms. Neha Ranglani,dietitian/nutritionist,B.Sc. - Home Science (Food & Nutrition),14,Bandra West,Mumbai,96,222,2500
Ms. Kanchan Patwardhan,dietitian/nutritionist,MSc - Dietitics / Nutrition,26,Kurla East,Mumbai,98,164,2000
Ms. Bhumika Khushalani,dietitian/nutritionist,"Post Graduate Diploma in Clinical Nutrition & Dietetics, BSc. - Home Science (Dietetics)",15,Chembur East,Mumbai,100,40,2000
Ms. Dhwani Bagadia,dietitian/nutritionist,M.Sc. - Home Science (Clinical Nutrition and Dietetics),9,Ghatkopar East,Mumbai,100,40,500
Ms. Meghna Parekh Sheth,dietitian/nutritionist,Post Graduation Diploma in Dietetics,26,Kandivali West,Mumbai,95,147,500
Ms. Apeksha Thakkar,dietitian/nutritionist,Post Graduate Diploma in Sports Nutrition,17,Mulund West,Mumbai,100,12,2500
Ms. Ritu Agarwal,dietitian/nutritionist,BSc. - Home Science (Applied Nutrition),20,Andheri West,Mumbai,100,17,0
Ms. Venu Adhiya Hirani,dietitian/nutritionist,"BSc. - Home Science (Food Science and Nutrition), P.G Diploma in Sports Science & Nutrition",29,Andheri West,Mumbai,100,17,1000
Ms. Sharmila Vyas,dietitian/nutritionist,BSc. - Home Science (Food Science and Nutrition),13,Girgaon,Mumbai,100,45,500
Ms. Revati Dandekar,dietitian/nutritionist,"BSc. - Home Science, M.Sc- Dietetics and Applied Nutrition",6,Powai,Mumbai,100,45,1500
Ms. Shweta Uchil,dietitian/nutritionist,Post Graduation Diploma in Dietetics,24,Kandivali West,Mumbai,93,15,0
Ms. Mitalee Doshi,dietitian/nutritionist,Post Graduate In Food Science And Nutrition,15,Mulund West,Mumbai,98,96,800
Ms. Richa Anand,dietitian/nutritionist,Post Graduate Diploma in Applied Nutrition and Dietetics,23,Powai,Mumbai,98,96,900
Ms. Ankita Shah,dietitian/nutritionist,Post Graduate Diploma in Applied Nutrition and Dietetics,18,Lower Parel,Mumbai,100,17,1500
Ms. Urvi Vakharia,dietitian/nutritionist,Diploma in Diet and Nutrition,18,Mulund West,Mumbai,99,329,250
Ms. Rajni Chetan,dietitian/nutritionist,MSc. - Dietetics & Food Service Management,46,Borivali West,Mumbai,99,329,600
Ms. Gurpreet Kaur Chhabra,dietitian/nutritionist,"PG Diploma in Dietitics and Hospital Food Service, BSc. - Home Science",22,Kandivali East,Mumbai,100,23,1000
Ms. Smruti Mehta,dietitian/nutritionist,M.Sc. - Home Science (Clinical Nutrition and Dietetics),9,Borivali West,Mumbai,100,23,500
Ms. Pradnya Padhye,dietitian/nutritionist,"M.Sc. - Home Science (Food & Nutrition), B.Sc. - Home Science (Food & Nutrition)",22,Powai,Mumbai,100,222,1500
Ms. Mansi Padechia,dietitian/nutritionist,Post Graduate In Food Science And Nutrition,13,Tardeo,Mumbai,100,230,2000
Ms. Radhika Gawade,dietitian/nutritionist,BSc. - Home Science (Dietetics),20,Bandra,Mumbai,100,230,0
Ms. Sonal Bhosale,dietitian/nutritionist,B.Sc. - Home Science (Food & Nutrition),16,Kandivali West,Mumbai,100,230,0
Ms. Rokayya Ara,dietitian/nutritionist,BSc - Dietitics / Nutrition,11,Andheri West,Mumbai,100,230,0
Dr. Ritu Jain,dietitian/nutritionist,"BNYS, BSc - Dietitics / Nutrition, ND/NMD(Doctor of Naturopathy And Natural Medicine), Diploma in Acupuncture",22,Andheri West,Mumbai,100,230,1000
Ms. Karishma Hindlekar,dietitian/nutritionist,MSc. - Dietetics & Food Service Management,4,Borivali West,Mumbai,100,230,600
Ms. Nikita Lawande,dietitian/nutritionist,Post Graduate Diploma in Applied Nutrition and Dietetics,1,Powai,Mumbai,100,230,350
Ms. Kirti Muthal,dietitian/nutritionist,"Diploma in Dietetics, Health and Nutrition (DDHN)",8,Borivali West,Mumbai,100,230,2000
Dr. Sudhir Hebbar,Psychiatrist,"MBBS, DNB - Psychiatry",30,Marathahalli,Bangalore,76,84,800
Dr. Meena Gnanasekharan,Psychiatrist,"MBBS, CCT- Child and Adolescent Psychiatry, Diplomate of American Board of Psychiatry and Neurology, M.D. (Psychiatry)",28,Hebbal,Bangalore,85,400,2830
Dr. Shobha Krishna,Psychiatrist,"MBBS, MRCPsych",31,Jayanagar,Bangalore,95,222,1500
Dr. Venkatesh Babu G M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17,HSR Layout,Bangalore,85,100,1000
Dr. Sumanth T P,Psychiatrist,"M.D. (Psychiatry), MBBS",17,Chandra Layout,Bangalore,96,25,1000
Dr. Shradha Shejekar,Psychiatrist,"M.D. (Psychiatry), MBBS",10,Kalyan Nagar,Bangalore,96,25,1100
Dr. Manjunath H,Psychiatrist,"DPM (Psychiatry), MBBS",24,Indiranagar,Bangalore,67,24,800
Dr. Anand Jayaraman,Psychiatrist,"MBBS, MRCPsych",26,Millers Road,Bangalore,87,45,1500
Dr. Safiya M.S,Psychiatrist,"MBBS, Diploma in Psychiatry",18,Sahakaranagar,Bangalore,96,2684,1500
Dr. Vijay Mehtry,Psychiatrist,"MBBS, M.D. (Psychiatry)",15,JP Nagar 7 Phase,Bangalore,98,214,800
Dr. Harsha GT,Psychiatrist,"MBBS, M.D. (Psychiatry)",10,Yeshwanthpur,Bangalore,98,214,1000
Dr. Lakshmi S,Psychiatrist,"MBBS, DPM (Psychiatry), M.D. (Psychiatry)",15,Banashankari 3rd Stage,Bangalore,97,38,1200
Dr. Anand,Psychiatrist,"MBBS, M.D. (Psychiatry)",15,Mahadevapura,Bangalore,97,38,1000
Dr. Kaustubh Gosavi,Psychiatrist,"MBBS, M.D. (Psychiatry)",8,Indiranagar,Bangalore,100,97,1000
Dr. Vani P,Psychiatrist,"M.D. (Psychiatry), MBBS",5,HSR Layout,Bangalore,100,97,1250
Dr. Valli Kiran Manduva,Psychiatrist,"MBBS, DPM (Psychiatry)",22,Rajarajeshwarinagar,Bangalore,100,97,1500
Dr. Bhavya K Bairy,Psychiatrist,"MBBS, M.D. (Psychiatry)",11,Sampangiramnagar,Bangalore,100,97,1200
Dr. Pavana.S,Psychiatrist,"MBBS, DPM (Psychiatry)",16,Vidyaranyapura,Bangalore,58,12,1000
Dr. Dhruva Ithal,Psychiatrist,"MBBS, M.D. (Psychiatry)",11,Yelahanka,Bangalore,100,12,1000
Dr. Vanishree B N,Psychiatrist,"MBBS, DPM (Psychiatry)",6,Sarjapur Road,Bangalore,100,12,1100
Dr. Vidhyavathi M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17,Malleswaram,Bangalore,100,12,1350
Dr. Satish Ramaiah,Psychiatrist,"MBBS, MRCPsych",22,Yelahanka,Bangalore,98,1424,1500
Dr. Ashok Shetty,Psychiatrist,"MBBS, M.D. (Psychiatry)",24,Vijayanagar,Bangalore,97,58,1200
Dr. Kapur B,Psychiatrist,"MBBS, M.D. (Psychiatry)",45,Hebbal,Bangalore,91,32,2130
Dr. Shilpa Sri S.K,Psychiatrist,"MBBS, DPM (Psychiatry)",19,Basaveshwaranagar,Bangalore,98,174,850
Dr. Krishen Ranganath,Psychiatrist,"MBBS, MRCPsych, Diploma in Clinical Psychiatry",23,Seshadripuram,Bangalore,99,117,740
Dr. Kiran Kumar K,Psychiatrist,"MBBS, M.D. (Psychiatry)",19,Marathahalli,Bangalore,97,391,800
Dr. Ravi Prakash,Psychiatrist,"MBBS, DPM (Psychiatry), MD - Physiology",19,Mathikere - BEL,Bangalore,93,514,1200
Dr. Bhupendra Chaudhry,Psychiatrist,"MBBS, M.D. (Psychiatry)",31,Koramangala 5 Block,Bangalore,92,108,1250
Dr. Sushruth,Psychiatrist,"MBBS, M.D. (Psychiatry)",11,Indiranagar,Bangalore,98,370,750
Dr. Shivadev M,Psychiatrist,"MBBS, M.D. (Psychiatry)",17,Koramangala 6 Block,Bangalore,99,238,1000
Dr. Vijayakumar D.R,Psychiatrist,"MBBS, DPM (Psychiatry)",29,Whitefield,Bangalore,85,33,1700
